"","filecoverage","totalcoverage"
"R/checkClass.R",100,62.06
"R/colPercent.R",100,62.06
"R/computeWeightedMeans.R",0,62.06
"R/ds.abs.R",73.33,62.06
"R/ds.asCharacter.R",70.37,62.06
"R/ds.asDataMatrix.R",70.37,62.06
"R/ds.asFactor.R",76.79,62.06
"R/ds.asFactorSimple.R",66.67,62.06
"R/ds.asInteger.R",70.37,62.06
"R/ds.asList.R",90.91,62.06
"R/ds.asLogical.R",70.37,62.06
"R/ds.asMatrix.R",70.37,62.06
"R/ds.asNumeric.R",70.37,62.06
"R/ds.assign.R",80,62.06
"R/ds.auc.R",53.85,62.06
"R/ds.Boole.R",72.37,62.06
"R/ds.boxPlot.R",0,62.06
"R/ds.boxPlotGG_data_Treatment_numeric.R",0,62.06
"R/ds.boxPlotGG_data_Treatment.R",0,62.06
"R/ds.boxPlotGG_numeric.R",0,62.06
"R/ds.boxPlotGG_table.R",0,62.06
"R/ds.boxPlotGG.R",0,62.06
"R/ds.bp_standards.R",0,62.06
"R/ds.c.R",92.86,62.06
"R/ds.cbind.R",76.19,62.06
"R/ds.changeRefGroup.R",89.47,62.06
"R/ds.class.R",90,62.06
"R/ds.colnames.R",84.62,62.06
"R/ds.completeCases.R",69.09,62.06
"R/ds.contourPlot.R",0,62.06
"R/ds.cor.R",94.59,62.06
"R/ds.corTest.R",31.37,62.06
"R/ds.cov.R",95.06,62.06
"R/ds.dataFrame.R",76.47,62.06
"R/ds.dataFrameFill.R",83.54,62.06
"R/ds.dataFrameSort.R",64.15,62.06
"R/ds.dataFrameSubset.R",68.87,62.06
"R/ds.densityGrid.R",0,62.06
"R/ds.dim.R",97.44,62.06
"R/ds.dmtC2S.R",91.78,62.06
"R/ds.elspline.R",60,62.06
"R/ds.exists.R",88.89,62.06
"R/ds.exp.R",80,62.06
"R/ds.extractQuantiles.R",0,62.06
"R/ds.forestplot.R",0,62.06
"R/ds.gamlss.R",96.08,62.06
"R/ds.getWGSR.R",61.9,62.06
"R/ds.glm.R",61.52,62.06
"R/ds.glmerSLMA.R",78.12,62.06
"R/ds.glmPredict.R",79.66,62.06
"R/ds.glmSLMA.R",72.18,62.06
"R/ds.glmSummary.R",71.7,62.06
"R/ds.heatmapPlot.R",0,62.06
"R/ds.hetcor.R",70,62.06
"R/ds.histogram.R",0,62.06
"R/ds.igb_standards.R",0,62.06
"R/ds.isNA.R",82.61,62.06
"R/ds.isValid.R",84.62,62.06
"R/ds.kurtosis.R",93.1,62.06
"R/ds.length.R",94.12,62.06
"R/ds.levels.R",84.62,62.06
"R/ds.lexis.R",86.49,62.06
"R/ds.list.R",83.33,62.06
"R/ds.listClientsideFunctions.R",85.96,62.06
"R/ds.listDisclosureSettings.R",85.71,62.06
"R/ds.listOpals.R",0,62.06
"R/ds.listServersideFunctions.R",88.89,62.06
"R/ds.lmerSLMA.R",78.82,62.06
"R/ds.log.R",75,62.06
"R/ds.look.R",90.91,62.06
"R/ds.ls.R",98.08,62.06
"R/ds.lspline.R",61.54,62.06
"R/ds.make.R",67.31,62.06
"R/ds.matrix.R",67.16,62.06
"R/ds.matrixDet.R",70.69,62.06
"R/ds.matrixDet.report.R",92.31,62.06
"R/ds.matrixDiag.R",68.18,62.06
"R/ds.matrixDimnames.R",69.81,62.06
"R/ds.matrixInvert.R",69.81,62.06
"R/ds.matrixMult.R",69.09,62.06
"R/ds.matrixTranspose.R",69.81,62.06
"R/ds.mdPattern.R",0,62.06
"R/ds.mean.R",96.15,62.06
"R/ds.meanByClass.R",92.31,62.06
"R/ds.meanSdGp.R",91.59,62.06
"R/ds.merge.R",73.91,62.06
"R/ds.message.R",90.91,62.06
"R/ds.metadata.R",71.43,62.06
"R/ds.mice.R",93.75,62.06
"R/ds.names.R",90,62.06
"R/ds.ns.R",87.5,62.06
"R/ds.numNA.R",90.91,62.06
"R/ds.qlspline.R",84.62,62.06
"R/ds.quantileMean.R",94.29,62.06
"R/ds.rbind.R",66.67,62.06
"R/ds.rBinom.R",67.27,62.06
"R/ds.recodeLevels.R",94.29,62.06
"R/ds.recodeValues.R",71.43,62.06
"R/ds.rep.R",68.64,62.06
"R/ds.replaceNA.R",81.48,62.06
"R/ds.reShape.R",69.35,62.06
"R/ds.rm.R",90,62.06
"R/ds.rNorm.R",66.04,62.06
"R/ds.rowColCalc.R",89.74,62.06
"R/ds.rPois.R",67,62.06
"R/ds.rUnif.R",65.71,62.06
"R/ds.sample.R",71.43,62.06
"R/ds.scatterPlot.R",0,62.06
"R/ds.seq.R",72.41,62.06
"R/ds.setDefaultOpals.R",0,62.06
"R/ds.setSeed.R",83.33,62.06
"R/ds.skewness.R",93.1,62.06
"R/ds.sqrt.R",73.33,62.06
"R/ds.subset.R",57.45,62.06
"R/ds.subsetByClass.R",93.94,62.06
"R/ds.summary.R",76.47,62.06
"R/ds.table.R",58.06,62.06
"R/ds.table1D.R",83.05,62.06
"R/ds.table2D.R",82.02,62.06
"R/ds.tapply.assign.R",72.06,62.06
"R/ds.tapply.R",87.5,62.06
"R/ds.testObjExists.R",66,62.06
"R/ds.unique.R",90.91,62.06
"R/ds.unList.R",69.81,62.06
"R/ds.var.R",98.15,62.06
"R/ds.vectorCalc.R",86.36,62.06
"R/extract.R",100,62.06
"R/getPooledMean.R",100,62.06
"R/getPooledVar.R",100,62.06
"R/glmChecks.R",47.62,62.06
"R/isAssigned.R",71.43,62.06
"R/isDefined.R",100,62.06
"R/logical2int.R",28.57,62.06
"R/meanByClassHelper0a.R",88.24,62.06
"R/meanByClassHelper0b.R",85.71,62.06
"R/meanByClassHelper1.R",84.62,62.06
"R/meanByClassHelper2.R",55.36,62.06
"R/meanByClassHelper3.R",76.92,62.06
"R/meanByClassHelper4.R",78.57,62.06
"R/rowPercent.R",100,62.06
"R/subsetHelper.R",77.78,62.06
